100 1500 3 
1 89 39 62
1 -27 -43 3
1 -25 -32 22
1 33 18 -92
1 -39 -96 -30
1 -22 -91 -87
1 -97 -39 96
1 -53 76 -25
1 -48 72 38
1 79 30 93
1 -34 38 28
1 -63 18 14
1 62 15 29
1 44 -43 83
1 89 42 -24
1 91 -78 -92
1 -46 -91 22
1 16 -38 -12
1 40 75 86
1 -76 65 46
1 72 21 84
1 -47 -18 -86
1 26 75 11
1 49 71 37
1 -41 22 -44
1 -91 58 36
1 57 -2 19
1 58 -55 -5
1 90 -50 -41

